epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.562,5.50172,24.6284,2.65251,0.62023,0.0622,0.03768,0.01388,5.7345,6.23337,2.64658,0.000332615,0.000332615,0.000332615
2,190.747,5.47875,10.3919,2.62978,0.44952,0.06331,0.04286,0.01621,5.84738,6.84199,2.84492,0.000600019,0.000600019,0.000600019
3,282.376,5.40669,6.98069,2.61526,0.64335,0.09406,0.07052,0.03142,5.58076,6.182,2.57648,0.000801424,0.000801424,0.000801424
4,373.653,5.27819,6.05495,2.58593,0.63903,0.12146,0.0893,0.03965,5.43346,5.4364,2.50086,0.000703,0.000703,0.000703
5,463.157,5.08102,5.44821,2.49186,0.49795,0.15896,0.10986,0.05263,5.21171,5.29336,2.53057,0.000604,0.000604,0.000604
6,555.18,4.88111,5.04316,2.42534,0.44142,0.18396,0.12694,0.06311,4.89082,5.03652,2.37386,0.000505,0.000505,0.000505
7,642.843,4.70124,4.7362,2.36011,0.5136,0.19196,0.15204,0.07453,4.94606,4.87224,2.34924,0.000406,0.000406,0.000406
8,728.666,4.54961,4.49402,2.30741,0.43841,0.23313,0.1766,0.09151,4.72082,4.49659,2.30153,0.000307,0.000307,0.000307
9,813.797,4.44317,4.23398,2.24078,0.44287,0.24272,0.19864,0.1087,4.61166,4.31356,2.25043,0.000208,0.000208,0.000208
10,903.027,4.32988,4.07348,2.21382,0.45354,0.26635,0.21395,0.11655,4.50051,4.24659,2.22476,0.000109,0.000109,0.000109
